,date_active
,max
user_id,
0004708b-7159-4f64-9b28-d725d00c23a8,4/11/2016
002d4cb6-8241-4797-94a7-66c4c9aa7de2,6/2/2016
003f617c-0416-4c9b-a790-7092a191d54c,10/6/2016
0042aad6-26ae-458d-9e5b-acb9c29a7a34,5/24/2016
0069750b-99e3-4ab0-8309-40a8a5777ef3,4/14/2017
008a7067-6ed5-4b85-9c4b-222ecd71ca71,8/4/2016
00cd9313-dd51-488f-8921-259edc67902c,9/26/2016
0126a0e7-5021-4d84-9663-3723b46b9ab5,6/8/2016
0139f36b-a66f-44e9-ae89-0ff631c6b78f,8/14/2016
01573f6e-bedb-444b-a893-cbd3c41d1440,7/22/2016
018a8a4d-af18-4738-bc2f-d49655cedc81,4/17/2017
01d21f0e-aa75-4eae-aadc-6b834e968822,5/24/2016
01da7130-eb5a-4c08-920d-cd779f65bada,7/8/2016
021abf1c-87a9-4aaf-afad-2d82aea548a5,6/22/2016
022a2784-773b-4a74-9f5b-1416eed3cc8e,9/6/2016
02413cb9-5369-4d08-8aa5-7da082697d76,5/29/2017
025fc285-6872-43d9-8f31-758dd9fcc8f6,5/30/2016
026527c2-9999-4d1b-b23d-a63a0c39913b,4/19/2017
02a2e0cb-088b-45e4-8326-4c043c2b3987,12/29/2016
02d61d96-5c73-4f2c-bf9c-261f24a72e2d,10/6/2016
02d864b9-0f36-4791-886f-bd6b886b7db4,2/25/2017
02ef0030-cbb3-4060-8810-8099e9707140,2/22/2017
030588b0-8f39-47be-8a33-23394dfc73e5,5/26/2016
033d0d0e-fe54-4bb7-97ca-5af3f15f9dae,3/16/2017
034eafd0-a6a1-4923-8564-3aef33e2858a,6/1/2016
036bb865-6318-471e-94bb-5d9abd0534f4,7/29/2016
03b63ddf-3ab1-4383-9603-eb9715866d73,5/12/2017
03dbca50-57f2-4214-95c5-965ddf06dfb1,8/16/2016
03eed1f4-61a7-466f-8e55-703ae6d8252a,3/14/2017
0449aa9a-e5e5-4a2f-89dc-ff682916efe8,6/7/2016
045b2df9-2d1e-4edd-bac1-29a9ec164e6f,6/30/2016
048c2852-e5d4-4d77-b1c4-f1bcee03626d,3/2/2017
04bd48a2-00d1-46e3-be65-cbb8bae6cd26,2/5/2017
04c97081-c966-4675-821f-9fc69ae82727,6/24/2016
05676cc1-5302-43c3-8830-550147c75ffa,10/22/2016
058e7428-1bc9-452b-aa22-2ce3f493c2b5,12/29/2016
05b191be-4e47-4573-8409-55d1d696ac5a,10/7/2016
05c6b199-3d33-4a22-82ef-0961578d5287,11/15/2016
05d9dd85-da5c-4fd1-88ac-4b321cd63cd0,4/10/2016
06226942-5153-4dcb-9c4a-3d31b5b5d3ef,2/28/2017
062d67ef-000a-44f8-ad34-c717dadb7d9e,1/17/2017
063bd5e7-d2db-480e-adf1-6089532a9fa2,10/9/2016
06716030-8e70-4945-8921-dac9d5a95978,5/30/2016
067d9e4c-f747-4f4f-bd90-f3f0fae91885,6/23/2016
06ac11e0-7d3f-451d-bbcf-1dbfd8b24b64,3/30/2016
06d42a65-0d71-4041-88f8-a85b50dc6c0e,4/9/2016
06f772c7-8f18-41c6-b56b-4a765c8d3a9e,4/6/2016
06fbd751-d6e9-4fa3-991a-16c643e38abc,6/30/2016
0711b7f0-b2a7-4450-b62c-93e6b82ce2c5,8/9/2016
072b15f4-1360-4b10-bde6-26d1c7ada8c0,12/6/2016
072b68fe-b675-4018-b2eb-60d996d195ca,3/29/2016
07456fe6-ce82-4598-abd7-82e291c04e2f,8/1/2016
07578356-7cc0-4a4c-9248-7eb97518f564,12/15/2016
0785c6bb-1cb9-42fb-85cf-ec09609aea35,5/4/2017
07af3ebf-7bfb-4802-a9e5-0e4538e19d94,6/6/2016
07dd9f66-5a85-45db-bd7c-c6f3f050b4e1,11/23/2016
07e244a4-1b8a-4a1f-8779-31a0b481c87d,6/17/2016
0855feb4-2092-4e68-b5ae-77d7a531444e,4/11/2016
08726bd7-b463-4ec0-ac82-080e057240ea,4/19/2017
087b6054-241f-47e8-b3c6-3033fbb7a279,5/12/2017
08ac6078-8c10-4a08-9fce-d2addc56a4bd,4/23/2017
08cbba94-c63c-4228-8e40-eec88b6f517a,6/9/2016
08f4fd22-5b3c-4546-a233-6518e574052d,3/20/2017
09440646-933c-411c-b3a1-ad48b5a255d3,11/12/2016
09487dc6-388e-479b-a4ab-73a8fcbe0fa8,6/22/2017
09707ce8-1089-4a95-b78b-1d96750027fc,10/20/2016
098171c6-e09d-4b4c-b422-31cd7f43890b,10/6/2016
0a4b49db-b165-437f-afef-bf62c4ad7f41,6/14/2016
0a9e7040-eab6-4ce7-b42d-0ee109f6bb5c,11/3/2016
0aac806f-1f9e-4a7a-8610-abd6de0d4b20,12/30/2016
0aad5bb9-b3f7-44e4-8f48-8d1a92b263d2,12/29/2016
