,is_pcba,revenue,is_bare_pcb,Days_since_order,Days_since_order,Date of registeration,date_active,Total_Purchase,last_order,Average
,sum,sum,sum,min,max,max,max,sum,max,
user_id,,,,,,,,,,
4282e12a-c677-430e-8675-151421dc596a,1,196.12,0,14 days 22:34:35.000000000,14 days 22:34:35.000000000,7/7/2016 16:28,7/7/2016,1,6/13/2017 18:12,0 days 00:00:00.000000000
e640d314-c500-4756-84d4-43e89b3c08bb,2,2348.75,0,15 days 19:06:17.000000000,44 days 11:24:10.000000000,5/12/2017 18:00,6/9/2017,2,6/12/2017 21:40,14 days 08:08:56.500000000
ca5c74ac-fdfc-45f4-957b-7d47dded2990,1,264.95,2,16 days 03:26:47.000000000,83 days 21:38:12.000000000,4/5/2017 18:56,6/9/2017,3,6/12/2017 13:20,22 days 14:03:48.333333333
8a544d53-3fe0-4d88-801b-5c1478055ca6,2,270.88,1,22 days 20:49:26.000000000,63 days 00:45:43.000000000,10/11/2016 18:20,6/6/2017,3,6/5/2017 19:57,13 days 09:18:45.666666666
34b43abf-bc7b-45ee-9529-9ea04652065a,0,216.25,2,23 days 03:11:32.000000000,352 days 03:48:32.000000000,6/6/2016 12:27,7/6/2016,2,6/5/2017 13:35,164 days 12:18:30.000000000
ae5525e9-763a-4fce-945b-a13172796e04,13,2472.43,1,25 days 20:34:23.000000000,155 days 17:38:06.000000000,8/29/2016 16:57,6/26/2017,14,6/2/2017 20:12,9 days 06:38:50.214285714
76bd06e0-fe94-4aa0-8b4a-8d962f81eb80,1,933.84,0,28 days 20:22:21.000000000,28 days 20:22:21.000000000,5/26/2017 19:24,5/30/2017,1,5/30/2017 20:24,0 days 00:00:00.000000000
2e312010-f599-40a5-bef1-56d07be655fe,0,16.99,1,29 days 14:49:47.000000000,29 days 14:49:47.000000000,11/12/2016 1:10,5/29/2017,1,5/30/2017 1:57,0 days 00:00:00.000000000
bac6a87e-a739-4c98-96a8-8363b2aedfbe,0,89.29,4,31 days 14:27:17.000000000,379 days 01:07:27.000000000,5/26/2016 7:54,8/23/2016,4,5/28/2017 2:19,86 days 20:40:02.500000000
dca5a52d-3246-4cb1-9b7d-37b03f3ca748,0,86.96,2,34 days 15:40:58.000000000,35 days 00:50:34.000000000,5/23/2017 12:18,6/19/2017,2,5/25/2017 1:06,0 days 04:34:48.000000000
c2eb934f-b1b3-45a4-82fb-d151618d1f02,2,422.22,0,36 days 11:09:11.000000000,36 days 11:13:44.000000000,5/10/2017 2:55,5/23/2017,2,5/23/2017 5:37,0 days 00:02:16.500000000
966ff3ef-1a85-4d23-89d9-4a25f2eea1af,11,13899.09,0,42 days 16:18:40.000000000,328 days 18:15:03.000000000,8/3/2016 16:55,8/9/2016,11,5/17/2017 0:28,26 days 00:10:34.818181818
8119c189-9cd6-4d06-9aa5-b9ec0482a3e8,4,2195.9,2,44 days 02:33:41.000000000,133 days 16:52:41.000000000,2/14/2017 6:58,6/5/2017,6,5/15/2017 14:13,14 days 22:23:10.000000000
e1a3a920-5912-4e2c-90ed-c9eb7b72648f,0,35.6,1,46 days 21:52:00.000000000,46 days 21:52:00.000000000,5/12/2017 16:44,5/12/2017,1,5/12/2017 18:55,0 days 00:00:00.000000000
ef4a573a-43c4-4221-9445-b41d142238e5,0,130.69,10,46 days 22:31:56.000000000,211 days 16:19:59.000000000,11/29/2016 0:15,6/20/2017,10,5/12/2017 18:15,16 days 11:22:48.300000000
e3031716-14b5-47bc-86a0-9c0735bdca14,2,457.72,0,47 days 10:49:46.000000000,47 days 10:50:31.000000000,4/29/2017 17:52,5/2/2017,2,5/12/2017 5:57,0 days 00:00:22.500000000
